,S9,S36,S3,S2,S1,S7,S6,S5,S30,S8,S33,S32,S4,S19,S18,S39,S38,S13,S12,S11,S10,S17,S16,S15,S14,S22,S23,S20,S21,S26,S27,S24,S25,S28,S29,S35,S34,S40,S31,S37
S32,0.729380952,0.481,0.751,0.742952381,0.526285714,0.649190476,0.506619048,0.527285714,0.457047619,0.439142857,0.512904762,0,0.588380952,0.810380952,0.751571429,0.773904762,0.339571429,0.434380952,0.593190476,0.720809524,0.50052381,0.71,0.714761905,0.622809524,0.715428571,0.411809524,0.36952381,0.682571429,0.316666667,0.745285714,0.568952381,0.884761905,0.550047619,0.702619048,0.701095238,0.519714286,0.695285714,0.659571429,0.649571429,0.855761905
S4,0.38252381,0.598809524,0.310809524,0.583904762,0.502761905,0.673238095,0.387333333,0.557380952,0.581714286,0.464666667,0.623714286,0.588380952,0,0.550190476,0.431190476,0.762904762,0.631,0.568952381,0.455333333,0.564380952,0.198619048,0.549047619,0.470857143,0.465428571,0.35047619,0.630571429,0.587809524,0.680761905,0.581666667,0.770761905,0.420952381,0.907809524,0.583238095,0.431809524,0.73547619,0.628285714,0.733380952,0.652428571,0.698333333,0.861380952
S19,0.552809524,0.592904762,0.516666667,0.569380952,0.592,0.768190476,0.55747619,0.77647619,0.772285714,0.629428571,0.583,0.810380952,0.550190476,0,0.477238095,0.654238095,0.843952381,0.581619048,0.369142857,0.485095238,0.548619048,0.455380952,0.550095238,0.650809524,0.529380952,0.835428571,0.731619048,0.595,0.795285714,0.721190476,0.636190476,0.913809524,0.598238095,0.638761905,0.639666667,0.563761905,0.582904762,0.537904762,0.639095238,0.839666667
S18,0.350190476,0.704761905,0.377380952,0.545904762,0.579380952,0.704904762,0.475666667,0.791333333,0.677380952,0.659619048,0.667,0.751571429,0.431190476,0.477238095,0,0.645380952,0.78347619,0.702333333,0.465380952,0.573095238,0.423190476,0.593428571,0.474619048,0.626190476,0.391809524,0.773190476,0.589285714,0.765047619,0.746809524,0.694428571,0.519904762,0.716,0.730190476,0.491285714,0.800619048,0.650666667,0.728428571,0.579571429,0.723333333,0.852
S39,0.707285714,0.591619048,0.731190476,0.765190476,0.691142857,0.772285714,0.768142857,0.820714286,0.74952381,0.713285714,0.632714286,0.773904762,0.762904762,0.654238095,0.645380952,0,0.762428571,0.635619048,0.698619048,0.666428571,0.763857143,0.635095238,0.71052381,0.749809524,0.77447619,0.745333333,0.661333333,0.666142857,0.728190476,0.719333333,0.736952381,0.51147619,0.615904762,0.791666667,0.681666667,0.567380952,0.644904762,0.542380952,0.647714286,0.87552381
S38,0.781142857,0.600142857,0.787428571,0.830095238,0.564428571,0.70147619,0.550666667,0.591809524,0.517,0.549047619,0.72847619,0.339571429,0.631,0.843952381,0.78347619,0.762428571,0,0.499857143,0.665571429,0.779714286,0.565190476,0.729285714,0.723095238,0.616238095,0.751428571,0.471857143,0.383571429,0.721285714,0.35352381,0.86,0.64247619,0.913095238,0.631571429,0.742142857,0.793380952,0.685380952,0.816285714,0.712,0.755857143,0.878333333
S13,0.714857143,0.348,0.703571429,0.707047619,0.37952381,0.660142857,0.48547619,0.488809524,0.455428571,0.353666667,0.508666667,0.434380952,0.568952381,0.581619048,0.702333333,0.635619048,0.499857143,0,0.528238095,0.532190476,0.480952381,0.506857143,0.655,0.579285714,0.632190476,0.441952381,0.422,0.520380952,0.440571429,0.69352381,0.605333333,0.915142857,0.359142857,0.738380952,0.571904762,0.431714286,0.576857143,0.510952381,0.539238095,0.832809524
S12,0.560714286,0.524714286,0.536047619,0.549666667,0.439952381,0.627809524,0.423,0.644333333,0.57847619,0.498809524,0.531095238,0.593190476,0.455333333,0.369142857,0.465380952,0.698619048,0.665571429,0.528238095,0,0.493428571,0.440238095,0.495142857,0.484190476,0.514428571,0.50952381,0.633666667,0.523857143,0.603285714,0.612095238,0.672190476,0.407809524,0.85952381,0.529190476,0.559095238,0.683095238,0.515095238,0.651714286,0.515428571,0.590809524,0.829333333
S11,0.577428571,0.563047619,0.574047619,0.559142857,0.566857143,0.678285714,0.595571429,0.735380952,0.719666667,0.558095238,0.514047619,0.720809524,0.564380952,0.485095238,0.573095238,0.666428571,0.779714286,0.532190476,0.493428571,0,0.547666667,0.491238095,0.577809524,0.593952381,0.538571429,0.696857143,0.710761905,0.608714286,0.740904762,0.701666667,0.564571429,0.914619048,0.555142857,0.623095238,0.655380952,0.512333333,0.61747619,0.575238095,0.586333333,0.854190476
S10,0.384857143,0.52852381,0.363714286,0.580809524,0.443,0.666285714,0.339714286,0.527666667,0.500428571,0.421571429,0.594333333,0.50052381,0.198619048,0.548619048,0.423190476,0.763857143,0.565190476,0.480952381,0.440238095,0.547666667,0,0.546952381,0.484190476,0.475761905,0.33752381,0.538666667,0.504,0.66452381,0.525095238,0.736714286,0.463428571,0.910285714,0.547619048,0.46452381,0.698809524,0.604333333,0.680571429,0.645380952,0.694047619,0.849380952
